station_id,title,lat,lng,trips_ended,trips_started,trips_total,fpct_started,fpct_ended,fpct_total
497,E 17 St & Broadway,40.73705,-73.99009,43493,39987,83480,0.2608,0.2661,0.2636
521,8 Ave & W 31 St,40.75045,-73.99481,38407,38953,77360,0.1545,0.1699,0.1621
293,Lafayette St & E 8 St,40.73029,-73.99076,38028,38368,76396,0.2584,0.2564,0.2574
519,Pershing Square N,40.75188,-73.9777,32468,41705,74173,0.137,0.1348,0.136
459,W 20 St & 11 Ave,40.74675,-74.00776,37119,36543,73662,0.2439,0.2435,0.2437
285,Broadway & E 14 St,40.73455,-73.99074,32727,33366,66093,0.2574,0.2704,0.2638
435,W 21 St & 6 Ave,40.74174,-73.99416,31192,31590,62782,0.282,0.274,0.278
382,University Pl & E 14 St,40.73493,-73.99201,30348,29943,60291,0.2673,0.2655,0.2664
402,Broadway & E 22 St,40.74034,-73.98955,29478,28835,58313,0.2535,0.2564,0.255
477,W 41 St & 8 Ave,40.75641,-73.99003,27535,30171,57706,0.1338,0.1364,0.135
426,West St & Chambers St,40.71755,-74.01322,28974,28655,57629,0.3216,0.3152,0.3184
151,Cleveland Pl & Spring St,40.72182,-73.9972,27856,28176,56032,0.2859,0.2749,0.2804
284,Greenwich Ave & 8 Ave,40.73902,-74.00264,28010,26913,54923,0.2529,0.2412,0.2469
490,8 Ave & W 33 St,40.75155,-73.99393,23377,29821,53198,0.1438,0.1447,0.1442
